model,accuracy,precision_macro,recall_macro,macro_f1,mcc,note,f1_bug,f1_feature,f1_question,f1_documentation
majority class,0.535921593792842,0.1339803984482105,0.25,0.17446254937708902,0.0,always predicts `bug`,,,,
TF-IDF + LogisticRegression,0.8082066913630662,0.6554044613002228,0.7451288516670493,0.6876975812999446,0.6847316575940594,"text only, fitted in 10s",,,,
TF-IDF + LinearSVC,0.8224338593471984,0.6863839922801894,0.6898733663952025,0.688108732377142,0.69315681400713,"text only, fitted in 10s",,,,
metadata-only LogisticRegression,0.5131916693404894,0.4532816824053401,0.534698712483973,0.41517069123545186,0.34422064498488836,"25 structural features, no text at all",,,,
text only (distilbert),0.8366610273313304,0.700993005525925,0.7710442222803389,0.7270644176270036,0.7272909182425367,val Macro-F1 0.7206,0.891027561935956,0.849067774603999,0.5528261169016024,0.6153362170664569
metadata only (MLP),0.6204970393489485,0.45708842307801456,0.5188638004375472,0.45682600592694156,0.42278460051359357,val Macro-F1 0.4543,0.7007781911523403,0.6632252812314979,0.3523800253090626,0.11092052601486564
LATE FUSION: distilbert + metadata,0.8282603622786804,0.691847979711996,0.7646446790415857,0.720280842764588,0.7171610818530687,val Macro-F1 0.7173,0.8772916351262697,0.8466553260110719,0.5505661101516024,0.6066102997694082
